관서명,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
서울청,0,0,0,0,0,38,0,0,250,297,392,440,881,472,319,225
중부,6,16,108,169,169,20,6,6,23,12,15,19,38,24,17,8
종로,0,13,14,8,8,65,4,14,14,25,53,37,31,48,23,27
남대문,4,38,76,19,19,23,14,8,14,9,12,9,16,18,0,2
서대문,1,122,111,64,64,45,6,11,23,12,29,26,115,66,25,19
용산,19,70,291,144,144,93,47,34,13,27,19,8,10,1,2,10
성북,1,76,27,20,20,22,8,8,10,5,5,9,11,5,6,5
마포,,57,106,19,19,28,40,50,67,67,62,67,83,65,32,31
영등포,13,83,71,58,58,57,26,68,119,60,61,40,71,69,57,41
성동,6,52,6,162,162,25,15,7,15,11,12,26,25,42,20,5
서부,44,59,46,158,158,26,11,7,3,4,4,18,12,40,8,6
중랑,2,64,120,53,53,36,32,19,10,25,30,36,54,28,15,24
강남,,34,26,39,39,113,102,121,115,137,109,76,95,52,40,40
관악,7,54,87,28,28,39,20,30,59,94,61,71,148,76,66,52
강서,28,118,32,20,20,35,29,31,52,66,78,73,91,104,51,29
강동,20,24,11,23,23,34,25,26,33,36,55,56,83,45,42,56
종암,456,646,203,151,151,98,19,16,19,14,34,22,21,23,22,15
구로,0,41,25,14,14,32,16,32,71,53,29,39,50,77,77,59
서초,16,62,67,72,72,54,54,70,79,67,53,99,105,24,33,20
양천,10,17,58,15,15,15,5,6,13,9,20,12,27,9,16,7
송파,5,55,56,37,37,49,23,34,41,40,68,80,86,43,46,51
노원,0,22,40,31,31,38,10,18,11,16,28,32,41,50,14,30
방배,4,45,243,40,40,26,6,1,10,8,1,4,9,4,0,0
은평,18,26,25,5,5,20,5,9,3,4,9,11,27,12,7,6
도봉,0,26,7,1,1,51,6,9,52,13,20,35,99,35,17,14
수서,0,2,12,8,8,49,17,40,88,132,158,151,131,60,111,50
혜화,19,39,61,350,350,144,30,83,42,15,21,32,13,14,19,11
동대문,4,31,18,17,17,18,12,81,53,32,21,39,25,59,44,48
동작,0,78,46,64,64,32,2,2,15,35,13,13,37,25,60,21
광진,0,7,34,31,31,44,30,24,30,35,45,47,67,22,50,31
강북,8,77,40,67,67,35,9,13,18,37,46,58,50,43,43,25
금천,5,40,29,43,43,39,9,18,53,43,30,45,114,64,40,17
